SimulationID,Player1Hand,Player2Hand,GameStage,CommunityCards,P1Win_Map,P2Win_Map,Tie_Map,Time_Map,P1Win_Hash,P2Win_Hash,Tie_Hash,Time_Hash
721,"As 9s ","Qh 2d ",flop,"4c Js 9c ",88,12,0,3,82,18,0,3
722,"5c 2c ","7h Js ",flop,"Jh 7s Kh ",1,99,0,2,0,100,0,3
723,"9d Qs ","Js 4s ",river,"Qc 2h 3s 2s 4h ",100,0,0,3,100,0,0,3
724,"Jh Js ","Ad 5d ",turn,"Qc 8h 2h 10c ",93,7,0,3,96,4,0,3
725,"Jh Js ","7s 5d ",preflop,"",87,13,0,2,78,22,0,3
726,"9d 9s ","Qs 6d ",turn,"4d Js 2h 5c ",88,12,0,3,84,16,0,3
727,"Ah 10s ","5h 4d ",turn,"3h Jc 2c 3c ",71,22,7,2,70,24,6,3
728,"10d As ","Qs Qc ",turn,"Jc 3d Qh 2h ",0,100,0,3,0,100,0,3
729,"6d 3s ","Ad 10h ",turn,"10d 7s 7d Kc ",0,100,0,3,0,100,0,3
730,"3d 5c ","3s Kc ",flop,"Jc 9h Ks ",0,99,1,3,0,98,2,3
731,"10s 5c ","8d 6c ",flop,"Kd Ks 9h ",76,16,8,3,66,21,13,3
732,"8h Ah ","3s 8d ",flop,"4d 4h 10h ",85,6,9,3,82,3,15,3
733,"2h 6s ","3c 3d ",flop,"3s Kc 8c ",1,99,0,2,1,99,0,3
734,"8h Jd ","10h As ",flop,"Ks 6d Ah ",4,96,0,3,1,99,0,3
735,"3h 6s ","5c 8h ",preflop,"",26,66,8,2,40,57,3,3
736,"4c 5h ","4s 5d ",flop,"Jc Qs 3c ",5,0,95,3,5,0,95,3
737,"3d 10s ","Kc 2s ",river,"Jc 10d 6h Ah 4c ",100,0,0,3,100,0,0,3
738,"10h 5d ","Ks 5s ",preflop,"",29,69,2,3,18,80,2,3
739,"5h 3d ","4h 8s ",turn,"8c Ac 3s Jh ",5,95,0,3,20,80,0,3
740,"Ks Js ","5s 10s ",flop,"9h 2d 3c ",69,30,1,3,78,20,2,3
741,"2s 3c ","2c 10c ",river,"Qc Qd 8s 10d 6s ",0,100,0,3,0,100,0,3
742,"Ah 5d ","4d 2h ",preflop,"",70,29,1,3,66,33,1,3
743,"3s 2s ","6h 8d ",preflop,"",30,64,6,3,37,60,3,3
744,"2s 4h ","Kd 9s ",turn,"8d 4s Qc Jc ",76,24,0,3,81,19,0,3
745,"9c 7d ","4s 2h ",river,"7c Js 5d Qc 7h ",100,0,0,2,100,0,0,3
746,"9s 6h ","9h 2h ",river,"9c 7d 5h 5c Qs ",0,0,100,3,0,0,100,3
747,"6s 5d ","As 4h ",river,"Kh 3c 5h 5c 2h ",100,0,0,2,100,0,0,2
748,"3s Js ","4s 6d ",flop,"2d 4h 8c ",15,85,0,3,14,86,0,3
749,"4h Qs ","4s Jc ",turn,"Ad 3s 5h 6d ",84,5,11,3,76,8,16,3
